candle_end_time,open,high,low,close,amount,info
2004-01-02,997.000,1021.570,993.890,1011.350,8064650.000,
2004-01-05,1008.280,1060.900,1008.280,1060.800,14468200.000,
2004-01-06,1059.140,1086.690,1059.090,1075.660,16991300.000,
2004-01-07,1075.560,1095.840,1070.980,1086.300,13729400.000,
2004-01-08,1087.680,1108.290,1082.510,1102.660,10780400.000,
2004-01-09,1105.770,1115.460,1079.070,1081.790,13467400.000,
2004-01-12,1081.810,1117.510,1079.770,1116.800,10233900.000,
2004-01-13,1120.150,1123.660,1089.630,1102.340,9837189.000,
2004-01-14,1101.440,1101.670,1076.870,1079.720,7120500.000,
2004-01-15,1078.530,1088.670,1070.730,1073.980,6179210.000,
2004-01-16,1076.640,1087.820,1067.850,1083.650,7174170.000,
2004-01-29,1086.660,1101.030,1084.450,1100.600,5791230.000,
2004-01-30,1102.170,1103.700,1066.440,1067.550,7761120.000,
2004-02-02,1107.490,1116.310,1069.970,1091.730,15432900.000,
2004-02-03,1091.860,1103.240,1084.390,1102.950,8411110.000,
2004-02-04,1104.740,1130.140,1104.740,1128.440,10535000.000,
2004-02-05,1135.620,1136.420,1118.170,1127.900,9774310.000,
2004-02-06,1125.490,1139.090,1108.910,1122.080,11140300.000,
2004-02-09,1122.290,1134.910,1122.280,1134.610,8598300.000,
2004-02-10,1137.720,1141.990,1116.930,1120.960,8662779.000,
2004-02-11,1121.810,1123.770,1100.240,1110.060,9246320.000,
2004-02-12,1110.830,1122.480,1092.290,1094.110,9581600.000,
2004-02-13,1094.000,1105.820,1088.860,1096.360,6904820.000,
2004-02-16,1098.860,1124.350,1098.860,1123.750,7623410.000,
2004-02-17,1127.100,1132.710,1121.280,1123.620,8815900.000,
2004-02-18,1123.700,1136.530,1119.630,1129.280,8093710.000,
2004-02-19,1130.400,1138.080,1119.670,1122.380,7130800.000,
2004-02-20,1122.930,1125.370,1112.940,1124.660,5988760.000,
2004-02-23,1126.230,1129.520,1092.010,1093.140,8802510.000,
2004-02-24,1090.250,1095.940,1072.330,1093.100,8449379.000,
2004-02-25,1094.430,1104.350,1067.130,1070.360,8064050.000,
2004-02-26,1068.120,1080.230,1061.200,1079.900,8100889.000,
2004-02-27,1081.710,1090.890,1079.930,1088.720,7293070.000,
2004-03-01,1089.650,1095.230,1076.080,1094.240,6441710.000,
2004-03-02,1096.100,1099.710,1086.720,1093.390,5577319.000,
2004-03-03,1093.360,1093.740,1067.940,1072.640,5214819.000,
2004-03-04,1070.900,1079.270,1061.890,1078.350,4810430.000,
2004-03-05,1080.340,1083.140,1070.300,1071.580,3365030.000,
2004-03-08,1070.110,1075.750,1056.040,1057.100,4599850.000,
2004-03-09,1057.360,1075.220,1056.880,1061.160,6918020.000,
2004-03-10,1062.980,1091.350,1062.980,1091.100,6113969.000,
2004-03-11,1092.740,1102.220,1086.550,1095.560,5761789.000,
2004-03-12,1096.350,1102.130,1088.440,1099.080,5236100.000,
2004-03-15,1100.400,1134.280,1100.150,1131.680,10252100.000,
2004-03-16,1136.270,1139.490,1127.850,1135.570,7329360.000,
2004-03-17,1136.450,1139.280,1124.600,1135.170,5489800.000,
2004-03-18,1134.930,1141.810,1110.320,1111.850,6869800.000,
2004-03-19,1110.440,1130.260,1107.100,1129.780,5885989.000,
2004-03-22,1130.870,1141.810,1126.190,1134.790,5093689.000,
2004-03-23,1133.990,1134.130,1115.670,1121.330,5587539.000,
2004-03-24,1120.210,1125.060,1109.330,1115.510,4800139.000,
2004-03-25,1114.750,1126.190,1108.180,1115.240,4609219.000,
2004-03-26,1115.490,1118.720,1105.550,1112.780,5394550.000,
2004-03-29,1112.280,1115.050,1100.430,1101.660,5336269.000,
2004-03-30,1100.800,1106.010,1093.120,1101.270,4158680.000,
2004-03-31,1102.290,1113.740,1097.870,1108.540,4247860.000,
