candle_end_time,open,high,low,close,amount,info
2010-06-02,967.609,997.120,952.610,997.119,1074627.000,
2010-06-03,1002.355,1026.700,997.770,998.394,1616805.000,
2010-06-04,989.681,1027.680,986.500,1027.681,1500295.000,
2010-06-07,1005.028,1075.220,1001.700,1069.468,2655275.000,
2010-06-08,1067.324,1075.500,1050.960,1067.154,1976720.000,
2010-06-09,1070.852,1102.100,1069.430,1077.823,2541568.000,
2010-06-10,1077.675,1119.110,1076.280,1117.478,2197404.000,
2010-06-11,1122.443,1128.230,1118.710,1122.199,2224874.000,
2010-06-17,1126.130,1129.680,1064.840,1064.839,1764283.000,
2010-06-18,1052.067,1053.140,993.170,1000.277,1630650.000,
2010-06-21,991.957,1043.160,976.410,1040.802,1574797.000,
2010-06-22,1037.039,1057.370,1033.650,1034.995,1427162.000,
2010-06-23,1026.865,1056.350,1023.740,1047.337,1257359.000,
2010-06-24,1046.759,1059.750,1041.540,1050.601,1069132.000,
2010-06-25,1046.212,1046.210,999.160,1016.283,1237298.000,
2010-06-28,1009.223,1014.410,984.220,987.827,920673.000,
2010-06-29,985.572,992.230,912.540,913.309,1497799.000,
2010-06-30,898.291,921.810,881.360,919.314,1223661.000,
2010-07-01,914.395,921.210,882.190,882.190,1049572.000,
2010-07-02,878.951,885.340,832.620,873.120,1288833.000,
2010-07-05,857.369,870.860,842.730,862.268,915864.000,
2010-07-06,859.258,898.450,857.800,893.718,1165231.000,
2010-07-07,896.532,908.550,890.340,908.549,1046162.000,
2010-07-08,911.997,914.300,887.030,905.509,1098087.000,
2010-07-09,903.496,936.530,896.890,932.147,1451460.000,
2010-07-12,931.530,941.070,924.060,930.170,1263600.000,
2010-07-13,924.948,936.640,906.300,931.080,1468657.000,
2010-07-14,929.749,937.930,916.070,922.362,1423586.000,
2010-07-15,920.046,930.550,892.560,892.557,1175880.000,
2010-07-16,885.067,895.060,869.020,892.298,1009312.000,
2010-07-19,881.656,910.180,878.070,908.049,938802.000,
2010-07-20,909.543,937.540,909.540,937.017,1365808.000,
2010-07-21,940.097,959.040,938.160,941.250,1665745.000,
2010-07-22,938.218,950.210,932.020,950.209,1326602.000,
2010-07-23,951.840,964.740,948.130,960.588,1721251.000,
2010-07-26,962.760,966.730,954.760,966.154,1476035.000,
2010-07-27,963.544,968.040,955.730,957.967,1361821.000,
2010-07-28,955.188,972.530,954.520,972.534,1566182.000,
2010-07-29,974.295,982.010,965.610,975.362,1794193.000,
2010-07-30,971.663,971.660,955.920,968.431,1458486.000,
2010-08-02,968.450,994.230,968.450,994.228,1810364.000,
2010-08-03,995.195,996.260,975.640,975.645,1757058.000,
2010-08-04,971.407,978.010,955.930,978.014,1446165.000,
2010-08-05,980.270,998.100,978.330,987.351,1770399.000,
2010-08-06,987.967,1011.390,985.630,1011.390,1899061.000,
2010-08-09,1013.240,1032.340,1013.240,1032.340,2091995.000,
2010-08-10,1031.978,1034.330,993.990,993.992,2177071.000,
2010-08-11,991.278,1006.450,990.940,1004.637,1615078.000,
2010-08-12,994.052,1007.580,987.980,991.777,1689189.000,
2010-08-13,992.626,1007.520,986.620,1007.206,1471798.000,
2010-08-16,1007.498,1031.050,1005.050,1030.217,1880400.000,
2010-08-17,1031.075,1036.820,1023.080,1033.581,1800777.000,
2010-08-18,1033.707,1035.610,1018.500,1026.722,1643501.000,
2010-08-19,1026.983,1033.250,1021.700,1025.526,1624534.000,
2010-08-20,1021.458,1022.450,993.560,995.944,1870224.000,
2010-08-23,994.938,1001.180,991.520,995.613,1456014.000,
2010-08-24,993.576,1007.760,987.220,1004.985,1608155.000,
2010-08-25,1000.269,1002.330,976.555,976.878,2166638.420,
2010-08-26,978.600,984.870,973.000,980.630,1700767.000,
2010-08-27,978.510,1000.860,975.720,999.460,2173480.000,
2010-08-30,1002.990,1025.150,1002.990,1024.930,2358186.000,
2010-08-31,1020.750,1029.800,1015.130,1025.570,2175334.000,
2010-09-01,1025.680,1029.810,987.590,995.590,2400153.000,
2010-09-02,1001.600,1018.280,996.520,1014.920,2758003.000,
2010-09-03,1017.640,1045.210,1017.510,1036.700,3186012.000,
2010-09-06,1039.460,1043.240,1007.430,1010.760,2546962.000,
2010-09-07,1010.110,1022.620,1007.640,1022.620,1686002.000,
2010-09-08,1020.230,1027.640,1016.840,1026.330,1801644.000,
2010-09-09,1029.110,1040.670,1019.690,1021.830,2365284.000,
2010-09-10,1021.870,1037.510,1016.190,1034.940,2210901.000,
2010-09-13,1034.390,1045.390,1033.250,1042.480,2010292.000,
2010-09-14,1044.300,1046.130,1028.770,1031.220,1940841.000,
2010-09-15,1029.520,1030.020,987.050,990.100,2216464.000,
2010-09-16,989.490,994.950,964.530,972.600,1717924.000,
2010-09-17,976.070,981.730,967.550,972.230,1450030.000,
2010-09-20,972.450,975.260,947.410,949.200,1292681.000,
2010-09-21,952.070,953.830,930.250,934.460,1107187.000,
2010-09-27,936.210,951.840,930.860,950.670,1079437.000,
2010-09-28,949.630,949.890,939.630,942.050,1666173.000,
2010-09-29,941.270,944.170,924.410,926.760,1230242.000,
2010-09-30,923.830,942.540,921.360,942.540,1099209.000,
2010-10-08,946.470,963.180,945.620,959.860,1511188.000,
2010-10-11,960.910,961.170,941.910,947.110,1852470.000,
2010-10-12,946.630,959.980,945.010,951.790,1510895.000,
2010-10-13,951.330,962.740,940.650,962.740,2209485.000,
2010-10-14,963.290,975.910,956.860,958.490,1994136.000,
2010-10-15,954.120,957.770,937.120,944.250,1884787.000,
2010-10-18,941.870,941.870,913.820,932.360,1787335.000,
2010-10-19,932.830,1005.590,932.320,995.920,3333809.000,
2010-10-20,986.650,1024.580,986.030,1004.540,3438174.000,
2010-10-21,1001.680,1001.680,983.660,991.840,2161944.000,
2010-10-22,991.140,1023.700,991.140,1013.450,2377733.000,
